City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,daru,-9.0763,143.2092,28.33,79,100,4.63,PG,1682317261
127,whitehorse,60.7161,-135.0538,4.43,81,100,3.09,CA,1682317262
128,pechora,65.1472,57.2244,-1.77,70,18,5.46,RU,1682317262
129,chantonnay,46.687,-1.0502,8.18,92,55,2.52,FR,1682317262
130,tabou,4.423,-7.3528,26.36,87,100,2.22,CI,1682317263
131,ondjiva,-17.0667,15.7333,20.51,68,45,2.08,AO,1682317263
132,st. john's,47.5649,-52.7093,2.66,96,100,9.83,CA,1682317200
133,albany,42.6001,-73.9662,5.36,83,99,3.58,US,1682316689
134,la trinite,14.7376,-60.9629,24.91,49,0,1.54,MQ,1682317264
135,pangody,65.85,74.4859,-1.83,94,100,8.54,RU,1682317264
136,hawaiian paradise park,19.5933,-154.9731,23.73,91,100,1.54,US,1682317265
137,sao gabriel da cachoeira,-0.1303,-67.0892,22.24,99,36,0.58,BR,1682317265
138,shache,38.4167,77.2406,22.62,14,2,2.87,CN,1682317265
139,masterton,-40.9597,175.6575,9.38,82,24,3.1,NZ,1682317266
140,santa terezinha,-29.9002,-50.0904,19.76,87,95,5.56,BR,1682317266
141,pointe-du-lac,46.2869,-72.6845,6.99,92,100,4.12,CA,1682317266
142,weno,7.4515,151.8468,30.97,74,40,3.09,FM,1682317267
143,san luis de since,9.2439,-75.1468,23.52,85,24,2.05,CO,1682317267
144,homer,59.6425,-151.5483,2.93,57,0,1.79,US,1682317267
145,ninghai,29.2892,121.4247,14.02,92,100,3.47,CN,1682317267
146,ola,59.5833,151.2833,3.97,75,100,6.91,RU,1682317268
147,ben gardane,33.1378,11.2197,16.75,50,0,1.6,TN,1682317268
148,madera,37.1666,-119.8343,19.05,93,2,1.99,US,1682317269
149,kuta,-8.7233,115.1723,30.97,70,20,6.26,ID,1682317269
150,alto barinas,8.5931,-70.2261,23.04,100,86,3.26,VE,1682317269
151,ceres,37.5949,-120.9577,16.56,68,0,3.09,US,1682317110
152,lebu,-37.6167,-73.65,10.92,87,5,3.4,CL,1682317051
153,puerto deseado,-47.7503,-65.8938,11.58,69,16,6.54,AR,1682317270
154,hobyo,5.3505,48.5268,29.57,69,99,4.21,SO,1682317270
155,longyearbyen,78.2186,15.6401,-9.09,79,0,2.06,SJ,1682317271
156,itaituba,-4.2761,-55.9836,23.28,94,100,0.74,BR,1682317271
157,buta,2.7858,24.73,22.41,85,98,1.39,CD,1682317271
158,gisborne,-38.6533,178.0042,12.63,62,92,9.27,NZ,1682317272
159,margate,51.3813,1.3862,7.95,80,92,2.68,GB,1682317272
160,bengkulu,-3.8004,102.2655,29.89,69,88,3.59,ID,1682317272
161,kruisfontein,-34.0033,24.7314,17.71,73,100,2.26,ZA,1682317273
162,kidal,18.4411,1.4078,26.6,12,15,3.72,ML,1682317273
163,pisco,-13.7,-76.2167,21.12,83,0,0.51,PE,1682317273
164,punta arenas,-53.15,-70.9167,5.06,93,100,2.57,CL,1682317273
165,carbonear,47.7332,-53.2148,2.91,92,100,8.72,CA,1682317274
166,pizzo,38.7384,16.1658,20.19,100,33,2.57,IT,1682317274
167,khandyga,62.6667,135.6,1.85,72,97,4.05,RU,1682317275
168,avarua,-21.2078,-159.775,23.03,78,59,2.06,CK,1682317275
169,puerto santa,-8.9906,-78.6456,23.94,83,79,2.95,PE,1682317275
170,namibe,-15.1961,12.1522,23.8,71,42,3.45,AO,1682317276
171,afaahiti,-17.75,-149.2833,24.93,86,100,5.39,PF,1682317276
172,caleta de carquin,-11.0925,-77.6267,23.62,80,63,2.43,PE,1682317277
173,anadyr,64.75,177.4833,-5.72,85,40,13.0,RU,1682317277
174,smithers,54.7804,-127.1743,4.18,100,100,1.03,CA,1682317277
175,robat karim,35.4846,51.0829,23.92,33,100,0.0,IR,1682317278
176,arvayheer,46.2639,102.775,2.46,43,100,6.98,MN,1682317278
177,mejit,10.2753,170.8646,27.5,81,57,7.83,MH,1682317278
178,nelson bay,-32.7167,152.15,22.22,79,81,4.47,AU,1682317279
179,saldanha,-33.0117,17.9442,16.74,98,100,4.18,ZA,1682317081
180,olonkinbyen,70.9221,-8.7187,-4.88,80,94,8.01,SJ,1682317279
181,isafjordur,66.0755,-23.124,0.34,60,90,2.94,IS,1682317280
182,coracora,-15.0333,-73.7833,8.22,82,40,0.97,PE,1682317281
183,muynoq,43.7683,59.0214,22.35,30,18,8.43,UZ,1682317281
184,cheremukhovo,60.3484,59.9851,3.3,40,82,2.98,RU,1682317281
185,chonchi,-42.6128,-73.8092,4.56,92,1,0.73,CL,1682317282
186,nadym,65.5333,72.5167,-3.75,92,100,13.27,RU,1682317282
187,klyuchi,52.2667,79.1667,16.11,44,15,9.61,RU,1682317282
188,ziro,27.6333,93.8333,17.41,64,78,0.82,IN,1682317283
189,fushun,41.8558,123.9233,17.84,10,6,2.49,CN,1682317283
190,bel ombre,-4.6167,55.4167,30.91,74,20,2.06,SC,1682317283
191,badger,64.8,-147.5333,-8.89,54,75,8.75,US,1682317284
192,kavaratti,10.5669,72.642,29.01,69,94,5.75,IN,1682317284
193,upata,8.0086,-62.3989,22.33,89,94,0.49,VE,1682317284
194,grand falls-windsor,48.9332,-55.6649,1.39,94,100,0.89,CA,1682317285
195,east london,-33.0153,27.9116,20.52,73,0,2.06,ZA,1682317285
196,college,64.8569,-147.8028,-8.84,54,75,8.75,US,1682317285
197,chongwe,-15.3292,28.682,21.96,55,55,1.72,ZM,1682317285
198,qarshi,38.8667,65.8,27.9,23,0,4.12,UZ,1682317286
199,olinda,-8.0089,-34.8553,24.85,88,100,1.54,BR,1682317286
200,mana,5.6592,-53.7767,22.99,94,100,1.98,GF,1682317286
201,san antonio de pale,-1.4014,5.6325,27.41,76,97,1.9,GQ,1682317287
202,alesund,62.4723,6.1549,4.86,81,75,14.4,NO,1682317227
203,juye,35.3947,116.0883,13.38,61,99,1.71,CN,1682317204
204,bohicon,7.1783,2.0667,25.08,92,100,1.58,BJ,1682317287
205,aasiaat,68.7098,-52.8699,-1.18,99,100,1.02,GL,1682317288
206,nova sintra,14.8667,-24.7167,20.25,72,2,10.3,CV,1682317288
207,ikaalinen,61.7695,23.0658,6.53,91,100,4.21,FI,1682317288
208,dawei,14.0833,98.2,36.31,41,15,5.04,MM,1682317288
209,leava,-14.3,-178.1667,27.92,75,29,3.51,WF,1682317289
210,sarupathar,26.1984,93.8094,29.12,36,11,2.29,IN,1682317216
211,levuka,50.1834,-105.4011,-3.1,84,90,3.96,CA,1682317289
212,thompson,55.7435,-97.8558,-4.91,74,20,1.03,CA,1682317290
213,bikenibeu village,1.3673,173.1241,28.98,79,40,4.63,KI,1682317290
214,simanggang,1.2472,111.4528,28.99,79,20,1.03,MY,1682317290
215,reggane,26.7158,0.1714,24.91,17,0,7.56,DZ,1682317291
216,zabaykal'sk,49.6333,117.3167,6.08,13,93,7.55,RU,1682317291
217,katsuren-haebaru,26.3369,127.8719,26.01,65,20,5.66,JP,1682317291
218,aldan,58.6031,125.3894,-2.32,66,100,6.9,RU,1682317292
219,moroni,-11.7022,43.2551,28.45,75,14,1.59,KM,1682317292
220,cabedelo,-6.9811,-34.8339,24.37,85,96,4.16,BR,1682317292
221,khovd,48.0056,91.6419,8.18,25,98,2.93,MN,1682317292
222,hotan,37.0997,79.9269,22.92,9,0,1.68,CN,1682317293
223,nemuro,43.3236,145.575,2.4,94,99,4.37,JP,1682317293
224,torre del mar,36.7414,-4.0946,18.27,71,3,2.34,ES,1682317293
225,tura,25.5198,90.2201,31.81,31,7,2.04,IN,1682317293
226,qaqortoq,60.7167,-46.0333,-0.15,85,91,1.48,GL,1682317294
227,bayanhongor,46.7167,100.1167,1.98,38,73,2.44,MN,1682317294
228,opuwo,-18.0607,13.84,20.5,59,2,0.51,NA,1682317294
229,luoyang,34.6836,112.4536,6.99,91,100,1.42,CN,1682316817
230,dudinka,69.4058,86.1778,2.57,81,41,6.53,RU,1682317295
231,banes,20.9625,-75.7186,22.26,76,7,1.66,CU,1682317295
232,sulak,43.2734,47.5146,14.42,69,100,3.31,RU,1682317163
233,ocean shores,46.9737,-124.1563,8.34,95,100,3.58,US,1682317128
234,bekovo,52.4663,43.712,14.49,58,81,3.13,RU,1682317296
235,nikolayevsk-on-amure,53.1406,140.73,4.22,58,53,6.52,RU,1682317296
236,la ronge,55.1001,-105.2842,3.14,35,75,4.63,CA,1682317296
237,murmashi,68.8154,32.8115,-1.77,58,0,3.13,RU,1682317297
238,vorgashor,67.5833,63.95,-6.75,92,95,6.26,RU,1682317297
239,okondja,-0.6549,13.6753,22.07,96,92,0.52,GA,1682317298
240,hola,51.5377,23.1902,13.23,95,46,5.24,PL,1682317298
241,constantia,44.1833,28.65,12.61,71,2,3.03,RO,1682317298
242,puerto baquerizo moreno,-0.9,-89.6,25.75,80,46,3.63,EC,1682317299
243,senillosa,-39.0,-68.4167,16.11,57,0,3.86,AR,1682317299
244,west bay,19.3667,-81.4167,25.56,83,8,2.41,KY,1682317299
245,virginia beach,36.8529,-75.978,15.03,72,75,5.66,US,1682317299
246,satsuma,30.8532,-88.0561,17.94,68,100,4.12,US,1682317300
247,sittwe,20.15,92.9,31.58,56,14,4.58,MM,1682317300
248,keflavik,64.0049,-22.5624,3.24,93,100,4.12,IS,1682317300
249,midvagur,62.0511,-7.1939,1.46,69,100,6.17,FO,1682317301
250,burley,42.5357,-113.7928,7.94,80,40,2.24,US,1682317301
251,dakhla,23.6848,-15.958,18.12,88,4,8.79,EH,1682317302
252,west island,-12.1568,96.8225,28.99,84,75,7.72,CC,1682317302
253,colonia,50.9333,6.95,9.98,75,100,4.12,DE,1682317302
254,annau,37.8876,58.516,27.72,26,88,2.06,TM,1682317303
255,revda,56.801,59.9303,11.11,56,98,3.77,RU,1682317303
256,wangkui,46.8333,126.5,14.34,9,23,6.4,CN,1682317303
257,idabel,33.8957,-94.8263,8.26,95,100,2.06,US,1682317303
258,san-pedro,4.7485,-6.6363,25.95,89,99,2.26,CI,1682317304
259,galliano,29.4422,-90.2992,18.33,69,100,4.72,US,1682317304
260,rio preto da eva,-2.6994,-59.6997,22.38,97,99,0.62,BR,1682317304
261,maracaibo,10.6317,-71.6406,25.7,79,7,3.88,VE,1682317194
262,araguaina,-7.1911,-48.2072,22.66,83,100,0.63,BR,1682317305
263,altai,46.3722,96.2583,1.04,31,6,1.15,MN,1682317305
264,roma,43.2128,-75.4557,4.76,93,100,1.54,US,1682317306
265,tocopilla,-22.092,-70.1979,19.4,84,29,1.75,CL,1682317306
266,st anne,49.715,-2.2042,9.09,87,20,4.12,GG,1682317306
267,smidovich,48.6,133.8167,8.96,25,89,9.33,RU,1682317307
268,klaksvik,62.2266,-6.589,1.51,63,100,10.97,FO,1682317307
269,marapanim,-0.7175,-47.6997,23.18,94,100,1.51,BR,1682317307
270,iskateley,67.6803,53.1512,-4.13,88,18,7.73,RU,1682317307
271,burhanuddin,22.4918,90.7235,32.27,39,1,1.08,BD,1682317308
272,berdyansk,46.7503,36.7944,12.57,69,54,3.53,UA,1682317308
273,thunder bay,48.4001,-89.3168,-1.01,93,100,1.03,CA,1682317108
274,tobruk,32.0836,23.9764,17.81,79,40,5.91,LY,1682317309
275,six-fours-les-plages,43.0938,5.84,16.73,70,15,3.13,FR,1682317309
276,ebon,4.582,168.6964,28.52,77,86,7.83,MH,1682317310
277,san andres,12.5847,-81.7006,27.01,69,40,2.57,CO,1682317310
278,madaoua,14.073,5.96,26.32,64,98,3.93,NE,1682317310
279,seminole,28.7086,-81.2081,22.81,92,0,2.06,US,1682317024
280,contamana,-7.3333,-75.0167,23.75,91,100,0.77,PE,1682317311
281,vorkuta,67.5,64.0,-6.52,91,97,6.36,RU,1682317311
282,itoman,26.1247,127.6694,26.01,65,20,5.66,JP,1682317311
283,upper grand lagoon,30.1633,-85.7408,19.49,62,75,4.12,US,1682317311
284,santa rosalia,27.3167,-112.2833,19.85,41,0,5.17,MX,1682317312
285,kloulklubed,7.0419,134.2556,29.28,72,85,2.15,PW,1682317312
286,bereznik,62.8551,42.7072,2.3,89,100,3.38,RU,1682317312
287,zouerate,22.7187,-12.4521,18.84,53,0,3.81,MR,1682317313
288,moose jaw,50.4001,-105.5344,-2.86,86,93,3.6,CA,1682316920
289,mossel bay,-34.1831,22.146,19.96,82,100,2.18,ZA,1682317313
290,pokhara,28.2333,83.9833,26.82,30,100,2.72,NP,1682316783
291,salinopolis,-0.6136,-47.3561,25.53,82,100,2.88,BR,1682317082
292,zagora,30.3484,-5.8365,20.9,34,53,1.56,MA,1682317314
293,kyshtovka,56.555,76.6271,8.01,90,99,5.62,RU,1682317314
294,kulunda,52.566,78.9385,15.84,41,27,9.59,RU,1682317315
295,balkanabat,39.5108,54.3671,27.79,21,97,8.12,TM,1682317315
296,senanga,-16.1167,23.2667,23.67,46,100,0.8,ZM,1682317315
297,al hazm,16.1641,44.7769,26.9,42,82,2.49,YE,1682317315
298,mercedes,-34.6515,-59.4307,14.36,85,97,2.49,AR,1682317316
299,riverside,33.7333,-116.0508,24.44,29,0,7.72,US,1682317199
300,port lincoln,-34.7333,135.8667,21.7,57,0,5.01,AU,1682317316
